xeid,t1e,t2e,h11e,h12e,h21e,h22e
rBfk6fO7,1.2848677741563048,1.2427142491729184,0.5912065803865901,0.5641636697428843,0.7590402905333206,0.7264540588473382
U7jo7z91,1.5742376399002924,1.3386054266711358,0.7237220859146019,0.6211266781243213,0.9367680365691745,0.7934140586476405
M9g47WCj,1.7407336510374118,0.8069910001999129,0.7789817261870773,0.3923512481181692,1.0024812020120089,0.4626524052432176
QXChy9gE,1.4876761764264284,0.9511148345419028,0.6719933687855674,0.43205621337979216,0.8537894017830091,0.5563502815618278
2g49AZK4,1.2306436816298638,1.2726958803998205,0.5709347881337186,0.5874833403380404,0.7173792463079427,0.7406674923866284
hdEvqxcM,0.8916070279082324,1.791943802044581,0.4188249620727055,0.8067472295823278,0.5130093209696164,1.0263248446186903
G0rn6WE5,1.0537292123940123,1.372861100171569,0.48070138064727036,0.6342018645590641,0.606913717082943,0.7860136690359666
lGiFEPmp,0.7825853613157046,2.0279419954222226,0.36729298064445964,0.9345950646298178,0.45335770533291636,1.1773729408066604
GpbM6Hem,1.699435043415291,1.1449405682254574,0.7712830883902408,0.5202726299740693,0.9834033584702734,0.661897673558042
4fxmve4a,0.8668718882221023,1.7450866026721712,0.4192491271750909,0.7987189296216161,0.4989710790177582,1.0081077040995354
A7cQ5yBg,2.3868601996150804,0.6797032127688355,1.116579963771503,0.329043250943504,1.3826203977567058,0.3838971978198608
MVnruykg,1.0572183461275015,1.4542894868831768,0.4826751469710271,0.6655262037641785,0.6192958028317875,0.8415406616786111
bswGq3oQ,1.7226480036259375,0.7865931114229912,0.7538841971274485,0.39092481479578883,0.9876388064130487,0.45903542485114235
Cj8sxDv9,2.1743780857840056,0.8492162162120742,1.004813550877914,0.40153386609915825,1.2913475499291616,0.5092974244331726
Ya9wwgP2,2.1934332655042352,0.7147035973825724,0.9991697656537406,0.33995465376737233,1.269557228488254,0.41352960197250965
ClJjw1Og,1.5432342149134215,0.9833615811931233,0.7099132491195759,0.465201194912718,0.9463304406066289,0.5932546924866966
2LCUbMel,0.8418667264052279,2.1935499091123707,0.39408437892847936,0.9993635192978441,0.49420208958574596,1.2855892962780189
drCYctBf,1.4090551077592943,1.3488354549160304,0.6370089642004222,0.6012893664294289,0.8211432798971676,0.7894553445818833
468UH12Q,1.0412182949030264,1.7044684233390524,0.48648589551179366,0.7675798119696887,0.6336510478411728,1.0257258130201616
MsJPIsmK,1.0924892553852708,1.6866834424882333,0.5120905664237416,0.781547040438756,0.6662032686700402,1.0202639879429025
I5Sd8Axs,0.5787397943583871,2.9565474854727434,0.2660007405870166,1.4541881301698296,0.2993515407134675,1.7250200524666648
js7KjP3R,0.8359705708206191,1.9227082790849275,0.4026549104516271,0.8922094644536982,0.48873704740029356,1.111440841678079
dKTo7pl8,0.9493245165775026,1.5728827477336378,0.4396353631153733,0.6910975128123606,0.5677879932428584,0.9148181690500404
fFk3r1B7,1.2937098230493786,1.4390377053461059,0.5852054174767427,0.6479243768500887,0.7577251868431655,0.845622771951901
nVNDXqck,0.7505591948732673,1.9183851328665598,0.36577749886760813,0.8689140441308463,0.43361023315559133,1.1002503096036327
UgDIW3Ce,0.9640335394222963,1.8392660293109018,0.46241905169625835,0.8286753278751463,0.5597824309689466,1.06124278281834
xMN9a6FL,0.8178048602979581,1.9788256064418854,0.407178400186647,0.9248669295610287,0.47141139403769344,1.145997298438433
0hE7gRJ8,0.9021219944085627,1.7884917101297577,0.4413153779233863,0.8247388285993338,0.5433803668047978,1.0673919646395227
6D3ThfTc,1.0231258667676926,1.520278358097229,0.4725821840204394,0.6970052666974764,0.6038521186232451,0.8911793170320783
rytnS5cE,0.7614985336925706,1.9620501553574865,0.37619874060717784,0.8828705754916455,0.43815164927449524,1.1211950935119042
drzunOfo,1.2585843929573175,1.1046887003462982,0.5972073566794299,0.5294547186345131,0.7479635147101137,0.659917325953747
fZmDj4nU,2.5976138833737235,0.7791171928778463,1.2508047729093272,0.3798060423468561,1.5512826350724591,0.44174101203548227
fyRweveD,1.5364906700896903,0.9996667746081462,0.7122081374003149,0.47178454228673994,0.8844911538181639,0.5795074828397645
ryWc4rYQ,1.8635253305645694,0.803762948597097,0.8729352698537044,0.3954457101961808,1.0757496465237433,0.46469182414136695
8vFLJNXD,1.2223752899142095,1.1919265543705628,0.5818871302701718,0.5687713535880858,0.7147785470795576,0.697676649158309
lI8Qa2tr,0.9800547695950552,1.7455700298276924,0.47270917563150894,0.8127176205231388,0.5689005454637063,1.006398510308405
dK7Gi5lL,1.4787397971668645,1.4138043590714995,0.6982512908689911,0.6585392506255975,0.871304967728351,0.8193675590971289
runaqsd1,1.465639469058042,1.166507066365498,0.6988587765001033,0.5678848713215074,0.8618632648129223,0.685585242473979
lInepNte,1.5706769602940451,0.9968096481946762,0.7537702071986063,0.48382482647835295,0.9168362087546412,0.5845976351400963
COkUCjUP,1.8979996533389023,0.8186070372281798,0.9147422123985023,0.4060334146845881,1.1292153962217082,0.48290792695791473
tWetjhDG,1.7939903682812104,0.8066234399735719,0.8570473351461211,0.4065925791857678,1.0225342790626137,0.4585881955265539
M1F3f742,1.6611042302593189,1.0081556138573022,0.7954537887588876,0.4889851827206078,0.9594900908656956,0.5862891442520191
YRJ9YPsq,1.6581938242465892,0.9097930020920899,0.8036969556123389,0.44611742535582816,0.9638652801152306,0.5252728748582394
bVO50n0F,1.427434184040682,1.112708017634199,0.6913310649864174,0.5434105662810886,0.8314811480293903,0.652467160366379
Cj4PgzEi,1.9145575024327381,0.7950462113004941,0.9028799599438775,0.4015477515252084,1.0761366515775281,0.45767037318755804
Qaq9ipXN,1.6130989508590678,0.9572625424545791,0.7791520532570303,0.46965833262743484,0.933037601653907,0.5539437912067506
n9p5hQHH,0.8882321476342798,1.6479405229382287,0.43646366701756434,0.7956303195383565,0.5111980547716808,0.95730748440009
4psrTor8,1.4007503681370665,1.0354830266286883,0.6680587312284184,0.49429366108397227,0.8016264149629816,0.58772922176882
zBSk643E,2.055827101326613,0.9254595266738405,0.9981130649800652,0.44241108016145775,1.175796615754136,0.5281592804727319
zZAxc0Q0,2.183755449485375,0.777334659662801,1.05657936155605,0.3724582894165693,1.2493452741922282,0.4447134683526032
GpSZeKu7,1.6230601732831689,0.9140248893167783,0.766460479098772,0.45599976363493583,0.9220615269775381,0.5337210266682267
4pXg5OIK,1.600142416938309,0.929086270600893,0.7546521565292932,0.4581998779722334,0.9084052008516167,0.531096077982338
hjgnnqCr,1.968605621113084,0.9987585118612549,0.9483279970383135,0.4788293075154749,1.1290349955064292,0.5803253875260896
YXjQDWEJ,2.6089887117867376,0.6595395109575181,1.2565841771241695,0.32111206289626737,1.4960445196241083,0.3598231253061782
rH3ChoZE,2.2419579517302948,1.0357854714896326,1.08350790811761,0.5002279584008729,1.3001004762674773,0.6070482987440351
ARmio3Rl,1.152925444451472,1.4644352526504794,0.5580198040886124,0.701673614298196,0.6723134101376189,0.8574302528849781
IJ781Sp9,2.4138286262213953,0.7137439004791039,1.1767151670655376,0.33117537908287176,1.3937421699604289,0.3918798456284462
2ucxiYcA,1.3111735101540873,1.16825590356927,0.6359218151718649,0.5634669814940392,0.7461077507885671,0.6638216865441194
8pCMVNR1,1.7543179839600755,0.832627697693561,0.8370227362589852,0.4135773735683536,1.0012516271518432,0.4727359419385422
p42XiEr4,2.664447170962126,0.5307077885856837,1.3381300557369402,0.2747738471177497,1.4915446617537136,0.29742616028149177
GUm04257,1.3342990027225212,1.1513106375503297,0.6361687776540209,0.5592977949926746,0.7697056599561918,0.6628059396238403
4pe0g62B,0.8492913847917064,1.6872135355652484,0.42247627589778536,0.8074004376428646,0.48207722203338066,0.9572336514211581
0G0LfGbo,1.887544046294203,0.6243070663613168,0.9004640552190732,0.3262978790746092,1.0757551989167768,0.357353428348785
jsidfnm5,1.0524153340629816,1.3473882311305108,0.5087579227583574,0.6433252296326065,0.6114209534735919,0.7929028141541347
KM8vMQMm,1.2119834240022862,0.7682641440840394,0.5907112811838297,0.37949514968600684,0.7071404571021317,0.44817396777274854
SY0cFZ4t,0.8721360751976309,1.4124580894600713,0.42872762422517424,0.6695434049044944,0.4981270216737441,0.7923219957352131
djl8DuNn,0.8013939773735567,1.5353175566609645,0.40978644563556427,0.7378940857277874,0.4814227427498824,0.874770304703591
