xeid,date,time,score,h1,h2,win,tie,los,result,usable,team1,team2,h11,h12,h21,h22,t1,t2
runaqsd1,2022-11-28,16:00,4:1,2:1,2:0,2.23,3.27,3.55,0.0,True,Croatia,Canada,2.0,1.0,2.0,0.0,4.0,1.0
lInepNte,2022-11-27,13:00,0:2,0:0,0:2,1.9,3.45,4.52,2.0,True,Belgium,Morocco,0.0,0.0,0.0,2.0,0.0,2.0
COkUCjUP,2022-11-27,10:00,0:1,0:0,0:1,1.49,4.32,7.47,2.0,True,Japan,Costa Rica,0.0,0.0,0.0,1.0,0.0,1.0
tWetjhDG,2022-11-27,19:00,2:0,0:0,2:0,1.55,3.95,7.12,0.0,True,Argentina,Mexico,0.0,0.0,2.0,0.0,2.0,0.0
M1F3f742,2022-11-27,16:00,2:1,0:0,2:1,1.82,3.6,4.84,0.0,True,France,Denmark,0.0,0.0,2.0,1.0,2.0,1.0
YRJ9YPsq,2022-11-26,13:00,2:0,1:0,1:0,1.73,3.64,5.43,0.0,True,Poland,Saudi Arabia,1.0,0.0,1.0,0.0,2.0,0.0
bVO50n0F,2022-11-26,10:00,0:1,0:1,0:0,2.21,3.32,3.52,2.0,True,Tunisia,Australia,0.0,1.0,0.0,0.0,0.0,1.0
Cj4PgzEi,2022-11-26,19:00,0:0,0:0,0:0,1.48,4.26,7.96,1.0,True,England,USA,0.0,0.0,0.0,0.0,0.0,0.0
Qaq9ipXN,2022-11-26,16:00,1:1,1:0,0:1,1.83,3.44,4.99,1.0,True,Netherlands,Ecuador,1.0,0.0,0.0,1.0,1.0,1.0
n9p5hQHH,2022-11-25,13:00,1:3,0:1,1:2,5.5,3.6,1.73,2.0,True,Qatar,Senegal,0.0,1.0,1.0,2.0,1.0,3.0
4psrTor8,2022-11-25,10:00,0:2,0:0,0:2,2.14,3.18,3.87,2.0,True,Wales,Iran,0.0,0.0,0.0,2.0,0.0,2.0
zBSk643E,2022-11-25,19:00,2:0,0:0,2:0,1.47,4.57,7.23,0.0,True,Brazil,Serbia,0.0,0.0,2.0,0.0,2.0,0.0
zZAxc0Q0,2022-11-25,16:00,3:2,0:0,3:2,1.32,5.49,10.21,0.0,True,Portugal,Ghana,0.0,0.0,3.0,2.0,3.0,2.0
GpSZeKu7,2022-11-24,13:00,0:0,0:0,0:0,1.78,3.55,5.1,1.0,True,Uruguay,South Korea,0.0,0.0,0.0,0.0,0.0,0.0
4pXg5OIK,2022-11-24,10:00,1:0,0:0,1:0,1.81,3.45,5.02,0.0,True,Switzerland,Cameroon,0.0,0.0,1.0,0.0,1.0,0.0
hjgnnqCr,2022-11-24,19:00,1:0,1:0,0:0,1.58,4.21,5.92,0.0,True,Belgium,Canada,1.0,0.0,0.0,0.0,1.0,0.0
YXjQDWEJ,2022-11-24,16:00,7:0,3:0,4:0,1.16,8.42,17.43,0.0,True,Spain,Costa Rica,3.0,0.0,4.0,0.0,7.0,0.0
rH3ChoZE,2022-11-23,13:00,1:2,1:0,0:2,1.45,4.85,7.28,2.0,True,Germany,Japan,1.0,0.0,0.0,2.0,1.0,2.0
ARmio3Rl,2022-11-23,10:00,0:0,0:0,0:0,3.57,3.28,2.21,1.0,True,Morocco,Croatia,0.0,0.0,0.0,0.0,0.0,0.0
IJ781Sp9,2022-11-23,19:00,4:1,2:1,2:0,1.22,6.8,13.86,0.0,True,France,Australia,2.0,1.0,2.0,0.0,4.0,1.0
2ucxiYcA,2022-11-23,16:00,0:0,0:0,0:0,2.51,3.13,3.14,1.0,True,Mexico,Poland,0.0,0.0,0.0,0.0,0.0,0.0
